const,TOT_POP,White-alone pop,Black-alone pop,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,POVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,county_pop2018_18 and older,Urban_rural_code,Age_0_19,Age_20_39,Age_40_59,Age_60+,Other_races,Indice_Profesionales_Disponibles,Indice_Capacidad_Medica,y
1.0,130090,120505,1736,669,9137,9.2,8.2,1.0,2.1,2.1,4.2,6270,23287,24040,29644,11673,10.9,9.5,69919,71633,1676,2.3,69919,92.8,97.24684435,49.96608078,2.685317201,83.34073742,55.72033192,214.6335677,17,105954,2,30393,39119,32668,27910,7849,137.75000000000003,520.592879371,99670
1.0,165324,110534,37974,11,1335,15.8,8.7,7.1,1.6,-8.7,-7.0,21680,33783,30238,18048,30035,26.5,25.1,47084,74105,3753,4.8,47084,81.0,93.23769253,47.24345931,7.892837553,68.42351979,101.5847941,216.5135942,145,119273,2,49842,46855,39014,29613,16816,102.61666666666666,679.895897483,150493
1.0,161503,69056,79150,2052,1407,11.2,7.1,4.1,0.6,8.1,8.7,7240,32983,34476,30379,10487,9.3,8.8,92616,81805,3299,3.9,92616,111.5,89.34796047,61.49855131,1.336344009,152.0224945,45.83659952,367.0135188,10,122800,2,42632,41526,47827,29518,13297,153.83333333333334,727.055468609,143917
1.0,20470,19556,281,-83,445,12.3,11.5,0.8,-0.5,-4.4,-4.9,1191,5572,4638,2744,1793,12.9,12.1,58641,10510,342,3.2,58641,107.8,11.41704693,2.221930409,0.407632346,12.73349893,9.141656541,36.30266751,5,15662,2,5243,4596,5478,5153,633,114.71666666666665,77.224432666,17471
1.0,8632,8478,24,-82,74,9.7,13.1,-3.5,0.0,-6.0,-6.0,1503,3302,785,586,2142,32.7,31.1,35983,2850,263,8.4,35983,81.7,4.502824183,3.193085514,0.267683816,4.6653465,5.932064555,13.39853098,0,6723,4,2082,1780,2321,2449,130,117.36666666666667,31.959535548,10493
1.0,136271,124661,4819,1838,2519,11.7,7.8,3.9,1.3,8.4,9.7,7072,19061,32985,27833,11343,11.4,10.9,69600,69502,1873,2.6,69600,114.8,47.00335118,27.74147282,2.48310633,51.5612519,45.63598096,160.9413736,0,103770,3,36686,39132,31834,28619,6791,95.95,335.36653678999994,100480
1.0,16272,11524,4244,-545,202,14.9,14.1,0.7,-0.4,-33.4,-33.8,2536,4563,2624,1337,4664,44.5,40.9,31831,5997,352,5.5,31831,58.5,9.07563203,1.766255575,0.324034857,10.12210526,7.26688008,28.85769447,7,12089,6,4561,3773,4056,3882,504,114.71666666666665,64.412602272,17103
1.0,30772,20717,8449,339,513,11.9,9.4,2.5,0.3,8.3,8.6,2947,7675,5757,4113,2930,15.2,14.3,67335,14547,520,3.5,67335,92.7,16.1777544,7.593934737,0.346820997,15.3468291,13.47182808,42.45667033,0,23693,2,7675,7841,8196,7060,1606,113.43333333333332,95.393837644,27479
1.0,1039073,882105,43252,11571,25279,10.9,9.7,1.2,2.2,7.7,9.9,79230,152408,230498,216291,164927,22.2,21.4,53395,464433,21828,4.5,53395,90.4,493.0479584,281.0793533,12.02555996,481.7468298,389.5991655,1342.950787,296,822337,3,248777,285258,234387,270651,113716,105.05000000000001,3296.44965396,805793
1.0,65592,47465,16181,500,400,11.8,11.9,-0.1,0.2,7.6,7.7,6002,16431,13258,8842,9431,22.1,21.6,52270,27904,1026,3.5,52270,99.7,27.36372085,13.53349513,0.890191767,27.57014213,30.20201344,83.23938092,10,50425,3,16568,15142,17251,16631,1946,100.01666666666667,192.798944237,59322
1.0,23659,8422,14423,-267,2496,9.0,12.4,-3.4,1.6,-9.4,-7.9,3477,5307,5496,2451,4909,31.7,30.6,38216,8662,458,5.0,38216,70.9,10.74764899,9.665365065,0.255191157,11.51777944,9.168653707,34.12953874,10,19192,6,5538,5734,5864,6523,814,109.35000000000002,85.484177099,27419
1.0,74808,55029,13248,-75,12095,12.4,6.3,6.1,0.6,-7.7,-7.1,5609,13217,21029,7402,9407,20.1,19.0,48099,23392,1010,4.1,48099,79.3,25.8031914,15.22909569,1.363138293,28.30531905,25.0525531,88.3511699,4,57755,3,18873,28080,17023,10832,6531,95.95,188.104467433,58978
1.0,277,265,0,-12,0,10.6,0.0,10.6,0.0,-53.0,-53.0,23,60,47,29,38,15.7,14.0,57925,208,6,2.8,57925,95.5,0.095544381,0.056390486,0.005047446,0.10480929,0.092764908,0.327147819,0,207,6,74,65,65,73,12,95.95,0.6817043300000001,226
